"c_table","c_facet","c_cid"
"Microscopy:Specimen","{""and"": [{""source"": ""RID"", ""choices"": [""31KG""]}]}","record"
"Microscopy:gene","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""specimen_gene_Gene ID_fkey""]}, {""outbound"": [""Microscopy"", ""specimen_gene_Specimen ID_fkey""]}, ""RID""], ""choices"": [""31KG""]}]}","record"
"Microscopy:specimen_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""specimen_comments_Specimen ID_fkey""]}, ""RID""], ""choices"": [""31KG""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Slide_Box ID_fkey""]}, ""RID""], ""choices"": [""31KG""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Specimen ID_fkey""]}, ""RID""], ""choices"": [""31KG""]}]}","record"
"Microscopy:Specimen","{""and"": [{""source"": ""RID"", ""choices"": [""31MC""]}]}","record"
"Microscopy:specimen_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""specimen_comments_Specimen ID_fkey""]}, ""RID""], ""choices"": [""31MC""]}]}","record"
"Microscopy:gene","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""specimen_gene_Gene ID_fkey""]}, {""outbound"": [""Microscopy"", ""specimen_gene_Specimen ID_fkey""]}, ""RID""], ""choices"": [""31MC""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Slide_Box ID_fkey""]}, ""RID""], ""choices"": [""31MC""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Specimen ID_fkey""]}, ""RID""], ""choices"": [""31MC""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""2856""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""2856""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""2856""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""216W""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""216W""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""216W""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""22E4""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""22E4""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""22E4""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""22E6""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""22E6""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""22E6""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""219G""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""219G""]}]}","record"
"Microscopy:Specimen","{""and"": [{""source"": ""RID"", ""choices"": [""32MW""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""212A""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""212A""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""212A""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""2144""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""2144""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""2144""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""1WM2""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""1WM2""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""1WM2""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""26N8""]}]}","record"
