"c_table","c_facet"
"RNASeq:Experiment","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Experiment_Study_RID_fkey""]}, ""RID""], ""choices"": [""14-3R1M""]}]}"
"Antibody:Antibody_Tests","{""and"": [{""source"": ""RID"", ""choices"": [""Q-BFQP""]}]}"
"Vocabulary:Anatomy","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Test_Distribution_Distribution_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Test_Distribution_Antibody_Test_ID_fkey""]}, ""RID""], ""choices"": [""Q-BFQP""]}]}"
"Antibody:Antibody_Media_Files","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Data_Sheets_Asset_ID_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Data_Sheets_Antibody_Test_ID_fkey""]}, ""RID""], ""choices"": [""Q-BFQP""]}]}"
"Antibody:Antibody_Media_Files","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Test_Images_Asset_ID_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Test_Images_Antibody_Test_ID_fkey""]}, ""RID""], ""choices"": [""Q-BFQP""]}]}"
"Common:Collection","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Tests_Collection_Collection_RID_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Tests_Collection_Antibody_Tests_RID_fkey""]}, ""RID""], ""choices"": [""Q-BFQP""]}]}"
"Protocol:Protocol","{""and"": [{""source"": ""RID"", ""choices"": [""14-3R9C""]}]}"
"Protocol:Protocol_Author","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Protocol_Author_Protocol_fkey""]}, ""RID""], ""choices"": [""14-3R9C""]}]}"
"Vocabulary:Anatomy","{""and"": [{""search"": [""glomerulus""], ""source"": ""*""}]}"
"Protocol:Keyword","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Keyword_Keyword_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Keyword_Protocol_fkey""]}, ""RID""], ""choices"": [""14-3R9C""]}]}"
"Protocol:Figure","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Figure_Protocol_fkey""]}, ""RID""], ""choices"": [""14-3R9C""]}]}"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""14-3R9C""]}]}"
"Protocol:Reference","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Reference_Consortium_Protocol_fkey""]}, ""RID""], ""choices"": [""14-3R9C""]}]}"
"Antibody:Antibody_Tests","{""and"": [{""source"": ""RID"", ""choices"": [""Q-BFQA""]}]}"
"Common:Collection","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Tests_Collection_Collection_RID_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Tests_Collection_Antibody_Tests_RID_fkey""]}, ""RID""], ""choices"": [""Q-BFQA""]}]}"
"Antibody:Antibody_Media_Files","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Data_Sheets_Asset_ID_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Data_Sheets_Antibody_Test_ID_fkey""]}, ""RID""], ""choices"": [""Q-BFQA""]}]}"
