"c_table","c_facet","c_cid"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170929A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170929B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170929B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170929B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20170929B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171004B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171004B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171004B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171004B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171005B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171005B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171005B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20171005B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170518A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170518A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170518A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfDsy20170518A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017A1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017A1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017B1""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfZdu20171017B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
